document_id,title_en,decision,decision_confidence,operational_relevance_score,prosperity_alignment_score,administrative_burden_score,repeal_risk_score,evidence_section_keys,rationale,human_agrees_decision,human_corrected_decision,human_notes
A-10.1,Air Canada Public Participation Act,repeal_candidate,0.8,1,-1,2,1,"[""4"", ""5""]",This Act appears to be transitional legislation that facilitated Air Canada's privatization and conversion from a Crown corporation to a private corporation under the Canada Business Corporations Act. The core provisions involve transferring shares to a Minister and obtaining continuance certificates - functions that appear to be historical implementation steps rather than ongoing operational requirements. The Act creates administrative layers without clear ongoing purpose and may represent bureaucratic inertia that could hinder economic freedom and efficiency.,,,
A-17.5,An Act to confirm the authority of the Federal District Commission to have acquired certain lands,repeal_candidate,0.85,0,0,0,1,"[""1""]","This 1979 Act serves a narrow historical purpose - confirming the legal validity of a specific 1954 land acquisition by the Federal District Commission. The Act references legislation that was repealed in 1958, and appears to be transitional legislation addressing a past administrative irregularity. It creates no ongoing operational framework, imposes no administrative burden, and poses minimal repeal risk as it merely confirms a decades-old property transaction. This type of historical confirmation legislation typically becomes obsolete once its validating purpose is served.",,,
C-10.10,Canada Recovery Benefits Act,repeal_candidate,0.85,0,0,1,1,"[""3"", ""4""]","This Act established COVID-19 recovery benefits for a specific historical period (September 27, 2020 to October 23, 2021) that has already ended. The law appears to be transitional emergency legislation tied to the pandemic response with no ongoing operational relevance. While it involved benefits payments (moderate repeal risk), the time-bound nature and completion of its purpose suggest it can be safely repealed as obsolete legislation that no longer serves any active function.",,,
C-11.01,Canada Worker Lockdown Benefit Act,repeal_candidate,0.9,1,0,1,1,"[""4"", ""5""]","This Act established a temporary COVID-19 lockdown benefit program with specific date ranges (October 24, 2021 to May 7, 2022) that have expired. The legislation appears to be transitional/emergency response legislation tied to a specific historical period. While it may have ongoing administrative functions for past claims, its core operational purpose has ended. The Act creates no ongoing regulatory burden or red tape since the benefit period has concluded, and repeal risk appears low as it was temporary emergency legislation rather than establishing permanent rights or core administrative powers.",,,
C-21.3,Canadian Polar Commission Act,repeal_candidate,0.95,0,1,1,0,"[""1"", ""2"", ""3"", ""4"", ""5""]","The Canadian Polar Commission Act appears to be entirely repealed, with all substantive sections (1-5) explicitly repealed in 2014. This creates an obsolete legislative shell with no operational content or ongoing purpose. The Act no longer governs any active federal program or institution, represents administrative clutter in the statute books, and poses minimal repeal risk since its substantive provisions have already been removed.",,,
C-27.4,Celebrating Canada’s Seniors Act,repeal_candidate,0.8,1,0,0,0,"[""2"", ""3""]","This Act serves only to designate October 1 as National Seniors Day without creating a holiday or non-juridical day. It has minimal operational relevance beyond symbolic designation, creates no meaningful administrative burden, and poses very low repeal risk as it establishes no rights, benefits, penalties, or regulatory powers. While not directly hindering prosperity, it represents the type of narrow, symbolic legislation that could be consolidated or eliminated as part of streamlining federal statutes.",,,
C-27.7,Child Day Act,repeal_candidate,0.8,1,0,1,0,"[""1"", ""2""]","This Act serves only to designate November 20th as 'Child Day' in commemoration of the UN Convention on the Rights of the Child adoption. It creates no ongoing federal program, regulatory regime, or administrative framework. The Act appears to be purely symbolic legislation with minimal operational relevance and no material impact on prosperity, productivity, or competitiveness. While commemorative, it represents the type of narrow, non-operational legislation that could be consolidated or repealed as part of modernization efforts without affecting substantive rights, benefits, or core government functions.",,,
C-3.7,Canada Emergency Response Benefit Act,repeal_candidate,0.9,0,0,1,1,"[""1"", ""2"", ""4"", ""5""]","This Act established the Canada Emergency Response Benefit (CERB) as a temporary COVID-19 pandemic response measure. The law is clearly obsolete as it only covered a specific historical period (March 15 to October 3, 2020) with application deadlines that have long passed (December 2, 2020). This is narrow transitional/emergency legislation that served its purpose during the pandemic but has no ongoing operational relevance. The repeal risk is low as it was temporary emergency legislation with defined end dates, and removing obsolete laws reduces administrative clutter and supports government efficiency.",,,
C-3.75,Canada Emergency Student Benefit Act,repeal_candidate,0.9,0,0,1,1,"[""2"", ""5""]","This Act established a temporary emergency benefit program for students during COVID-19 with clear temporal limitations. The application deadline was September 30, 2020, and eligibility was tied to specific periods in 2019-2020. The Act appears to be transitional emergency legislation that has served its purpose and is no longer operational, creating minimal repeal risk as it was designed as a temporary measure.",,,
"CRC, c 1026",Canadian Livestock Feed Board Headquarters Regulations,repeal_candidate,0.8,1,-1,1,0,"[""1"", ""2""]","This regulation appears to be a narrow administrative designation that only specifies the headquarters location of the Canadian Livestock Feed Board in Montreal. It creates minimal operational value while potentially contributing to administrative rigidity. The regulation lacks substantive operational content and appears to be the type of bureaucratic specification that could hinder organizational flexibility without clear compensating benefit. Given its narrow scope, low complexity, and minimal repeal risk (no rights, benefits, penalties, or major powers affected), it qualifies as a repeal candidate under the prosperity-first mandate.",,,
C-10.1,Canada Prize Act,escalate,0.8,1,0,1,3,"[""3"", ""5""]","This Act establishes Federal Court jurisdiction over maritime prize law (wartime capture of enemy vessels/goods). While it appears to be a specialized wartime/emergency legal framework that may see limited peacetime use, it involves core judicial powers, potential criminal/penalty provisions, and international law obligations. The Act references outdated terminology and 1939 UK law, suggesting modernization needs, but the high repeal risk due to judicial powers and potential national security implications requires human review rather than automated classification.",,,
C-36.7,Constitutional Amendments,escalate,0.9,3,0,1,3,"[""1""]","This law establishes constitutional amendment procedures requiring provincial consent, which is a core constitutional governance mechanism. It affects fundamental constitutional powers and processes, making it extremely high-risk for repeal. While not directly prosperity-focused, constitutional stability and clear amendment procedures provide the foundational governance framework necessary for economic confidence and investment. The law appears operational and serves an ongoing constitutional function, but involves such high-stakes constitutional powers that any modification requires careful human review.",,,
"CRC, c 1021",Lands Surveys Tariff,escalate,0.7,1,-1,2,2,"[""1"", ""2""]","This tariff establishes fees for land survey records and documents from the Department of Energy, Mines and Resources. While it appears to be a narrow administrative fee structure that could potentially create red tape, the law involves taxation/fee powers and affects resource development activities. The reference to 'Department of Energy, Mines and Resources' suggests outdated institutional references (this department was restructured decades ago), but the underlying fee structure may still be operational under successor departments. Given the repeal risk from fee/taxation powers and insufficient evidence about current operational status, escalation is warranted for human review.",,,
"CRC, c 1111",Town of Jasper Zoning Regulations,escalate,0.7,3,-1,2,2,[],"This regulation governs zoning in the Town of Jasper, which is located within Jasper National Park and has unique federal jurisdiction. While zoning regulations can create administrative burden and potentially hinder development, they also serve important land use planning functions. The federal nature of Jasper's governance and the potential intersection with national park management creates complexity that requires human review to properly assess prosperity impacts versus conservation and public safety considerations.",,,
"CRC, c 1235",Additional Legislative Powers Designation Order,escalate,0.3,1,0,1,3,"[""1"", ""2""]","This order designates specific legislative powers for the Northwest Territories Commissioner in Council regarding grants and loans. While the text is brief and appears operational, the delegation of legislative powers to territorial authorities represents a significant constitutional/administrative matter with potentially high repeal risk. The evidence is insufficient to fully assess current operational relevance, prosperity impact, or whether this creates administrative burden. Given the constitutional nature of power delegation and weak evidence base, escalation for human review is appropriate.",,,
